,Opportunity Name,Created Date,Close Date, Account Name, Account Type, Opp Value (EUR),Stage,Opportunity Owner,Country,Region,Segment,Lead Source,Type,Primary Campaign Source,Close Reason,Business Type,Deal Opened (Days)
119,Opp 149,2023-10-04,2024-05-07, Account 108, Top 3,3.416,Closed Lost,Sales Specialist 45,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,216
120,Opp 150,2023-06-12,2024-05-07, Account 127, Top 3,3.084,Closed Lost,Sales Specialist 53,Country 2,Region 1,Segment 1,Unknown,New Business,Campaing 25,Service & Support,Unknown,330
121,Opp 151,2023-06-01,2024-05-07, Account 13, Top 3,8.256,Closed Lost,Sales Specialist 10,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,341
122,Opp 152,2023-09-12,2024-05-07, Account 128, Top 3,17.309,Closed Lost,Sales Specialist 54,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,238
123,Opp 153,2023-09-11,2024-05-07, Account 129, Top 1,13.589,Closed Lost,Sales Specialist 49,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,239
124,Opp 154,2023-06-20,2024-05-07, Account 130, Small,3.241,Closed Lost,Sales Specialist 48,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,322
125,Opp 155,2023-06-05,2024-05-07, Account 131, Top 1,5.176,Closed Lost,Sales Specialist 48,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,337
126,Opp 156,2023-06-05,2024-05-07, Account 132, Top 3,7.958,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,337
127,Opp 157,2023-06-01,2024-05-07, Account 133, Top 1,5.831,Closed Lost,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,341
128,Opp 158,2023-06-01,2024-05-07, Account 134, Top 1,4.038,Closed Lost,Sales Specialist 55,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,341
129,Opp 159,2023-08-07,2024-01-25, Account 135, Small,87.314,Closed Lost,Sales Specialist 56,Country 2,Region 1,Unknown,Unknown,New Business,Campaing 26,Project/Budget Cancelled/Out of Business,Unknown,171
130,Opp 160,2024-02-16,2024-05-11, Account 136, Top 3,414.0,Closed Won,Sales Specialist 17,Country 2,Region 1,Segment 1,Unknown,Existing Business,Campaing 26,Service & Support,Unknown,85
